Total I/Os per Second ,Total MBs per Second ,Average I/O Response Time (ms) ,Maximum I/O Response Time (ms) ,% CPU Utilization (total) ,Total Error Count ,
8720.47,1090.06,14.6765,37.9745,2.37 %,0,
8716.56,1089.57,14.6794,34.4727,2.03 %,0,
8685.89,1085.74,14.7258,36.0147,3.84 %,0,
8802.99,1100.37,14.5386,43.9682,2.44 %,0,
8741.96,1092.75,14.6491,37.1686,3.04 %,0,
8470.16,1058.77,15.1071,39.7988,2.48 %,0,
8609.58,1076.20,14.8747,35.3127,3.09 %,0,
8625.74,1078.22,14.8465,40.0580,1.52 %,0,
8542.23,1067.78,14.9574,34.8601,1.78 %,0,
8409.05,1051.13,15.2318,38.2460,3.94 %,0,
8679.17,1084.90,14.7609,35.0607,3.53 %,0,
8694.64,1086.83,14.7135,33.4924,2.44 %,0,
8555.70,1069.46,14.9394,38.9551,2.82 %,0,
8382.55,1047.82,15.3102,40.5109,2.43 %,0,
8692.37,1086.55,14.7033,37.0094,1.03 %,0,
8746.35,1093.29,14.6310,38.0187,4.18 %,0,
8796.81,1099.60,14.5708,37.6578,5.08 %,0,
8900.29,1112.54,14.3690,33.7598,2.08 %,0,
9306.56,1163.32,13.7622,37.1022,2.08 %,0,
9413.88,1176.73,13.5854,35.5724,2.92 %,0,
9255.32,1156.92,13.8489,34.7802,2.12 %,0,
9483.39,1185.42,13.4981,33.0791,1.16 %,0,
9125.27,1140.66,14.0228,36.9738,4.47 %,0,
9348.66,1168.58,13.6896,38.7663,2.38 %,0,
9384.26,1173.03,13.6357,35.6569,2.81 %,0,
9410.50,1176.31,13.5997,31.9570,3.18 %,0,
9426.14,1178.27,13.5517,33.9200,3.37 %,0,
9602.79,1200.35,13.3653,33.4376,2.98 %,0,
9389.47,1173.68,13.6120,33.0356,3.25 %,0,
9700.25,1212.53,13.2078,36.8699,4.28 %,0,
9491.31,1186.41,13.4926,34.7440,4.61 %,0,
9677.93,1209.74,13.2179,32.9841,2.97 %,0,
9656.93,1207.12,13.2560,30.8978,4.79 %,0,
9441.54,1180.19,13.5518,33.6544,3.26 %,0,
9653.95,1206.74,13.2709,34.7808,2.64 %,0,
9601.75,1200.22,13.3262,30.5366,2.74 %,0,
